Subject,CrseNumb,AcyrCode,Term,Section,EnrlMax,EnrlActual
ABCD,2101,2008,200830,R40,20,14
ABCD,2101,2008,200830,S37,35,14
ABCD,2101,2009,200930,R40,20,15
ABCD,2101,2009,200930,S37,35,11
ABCD,2101,2010,201030,R40,20,11
ABCD,2101,2010,201030,S37,0,0
ABCD,2101,2011,201130,A70,1,1
ABCD,2101,2011,201130,L40,35,14
ABCD,2101,2012,201230,L40,35,11
ABCD,2101,2013,201330,L40,35,11
ABCD,2101,2013,201330,L41,35,0
ABCD,2101,2014,201430,L40,0,0
ABCD,2101,2014,201430,L41,0,0
ABCD,2110,1999,200010,R16,20,13
ABCD,2110,1999,200010,R40,30,16
ABCD,2110,1999,200010,S16,20,7
ABCD,2110,2000,200030,R70,1,1
ABCD,2110,2000,200110,R16,35,11
ABCD,2110,2000,200110,R40,30,15
ABCD,2110,2000,200110,S16,35,10
ABCD,2110,2001,200210,R14,35,0
ABCD,2110,2001,200210,R16,35,11
ABCD,2110,2001,200210,R17,2,1
ABCD,2110,2001,200210,R40,20,15
ABCD,2110,2001,200210,S14,35,3
ABCD,2110,2001,200210,S16,35,5
ABCD,2110,2001,200210,S17,2,0
ABCD,2110,2001,200220,R10,2,2
ABCD,2110,2002,200230,R40,2,2
ABCD,2110,2002,200310,R16,35,10
ABCD,2110,2002,200310,R17,1,1
ABCD,2110,2002,200310,R40,20,8
ABCD,2110,2002,200310,S10,35,0
ABCD,2110,2002,200310,S16,35,0
ABCD,2110,2002,200320,R17,1,0
ABCD,2110,2002,200320,S10,35,0
ABCD,2110,2002,200320,S16,35,2
ABCD,2110,2003,200330,R40,1,1
ABCD,2110,2003,200330,S10,1,1
ABCD,2110,2003,200330,S16,35,1
ABCD,2110,2003,200410,R16,35,3
ABCD,2110,2003,200410,R17,1,1
ABCD,2110,2003,200410,R40,35,5
ABCD,2110,2003,200410,S10,35,2
ABCD,2110,2003,200410,S16,35,4
ABCD,2110,2003,200420,R40,35,0
ABCD,2110,2003,200420,S14,35,2
ABCD,2110,2003,200420,S16,35,3
ABCD,2110,2004,200430,S16,35,0
ABCD,2110,2004,200510,R16,35,0
ABCD,2110,2004,200510,R40,35,14
ABCD,2110,2004,200510,R41,1,1
ABCD,2110,2004,200510,S14,35,1
ABCD,2110,2004,200510,S16,35,9
ABCD,2110,2004,200520,R40,35,0
ABCD,2110,2004,200520,S14,35,2
ABCD,2110,2004,200520,S16,35,0
ABCD,2110,2005,200530,S16,35,2
ABCD,2110,2005,200610,R16,0,0
ABCD,2110,2005,200610,R17,2,2
ABCD,2110,2005,200610,R40,35,7
ABCD,2110,2005,200610,S14,35,5
ABCD,2110,2005,200610,S16,35,9
ABCD,2110,2005,200620,R16,35,1
ABCD,2110,2005,200620,R40,35,0
ABCD,2110,2005,200620,S14,35,1
ABCD,2110,2005,200620,S16,35,0
ABCD,2110,2006,200630,S16,35,3
ABCD,2110,2006,200710,R16,0,0
ABCD,2110,2006,200710,R40,20,10
ABCD,2110,2006,200710,S14,35,2
ABCD,2110,2006,200710,S15,1,1
ABCD,2110,2006,200710,S16,35,9
ABCD,2110,2006,200710,S17,2,2
ABCD,2110,2006,200720,R40,20,1
ABCD,2110,2006,200720,S14,35,1
ABCD,2110,2006,200720,S16,35,3
ABCD,2110,2007,200730,S14,35,1
ABCD,2110,2007,200730,S15,1,1
ABCD,2110,2007,200730,S16,35,0
ABCD,2110,2007,200810,R15,1,1
ABCD,2110,2007,200810,R40,35,5
ABCD,2110,2007,200810,S14,35,1
ABCD,2110,2007,200810,S16,35,7
ABCD,2110,2007,200810,S17,1,1
ABCD,2110,2007,200820,R40,20,0
ABCD,2110,2007,200820,S14,35,6
ABCD,2110,2007,200820,S16,35,2
ABCD,2110,2008,200830,S16,35,3
ABCD,2110,2008,200830,S17,1,0
ABCD,2110,2008,200910,R40,35,8
ABCD,2110,2008,200910,S14,35,2
ABCD,2110,2008,200910,S15,35,0
ABCD,2110,2008,200910,S16,35,8
ABCD,2110,2008,200910,S17,35,0
ABCD,2110,2008,200920,R40,20,0
ABCD,2110,2008,200920,R41,20,0
ABCD,2110,2008,200920,S14,35,4
ABCD,2110,2008,200920,S15,35,0
ABCD,2110,2008,200920,S16,35,1
ABCD,2110,2008,200920,S17,35,1
ABCD,2110,2009,200930,R40,35,2
ABCD,2110,2009,200930,S16,35,6
ABCD,2110,2009,200930,S17,1,0
ABCD,2110,2009,201010,R40,35,9
ABCD,2110,2009,201010,S14,35,4
ABCD,2110,2009,201010,S15,35,1
ABCD,2110,2009,201020,R40,20,0
ABCD,2110,2009,201020,S14,35,7
ABCD,2110,2009,201020,S16,35,2
ABCD,2110,2010,201030,R40,35,4
ABCD,2110,2010,201030,S13,35,0
ABCD,2110,2010,201030,S14,35,2
ABCD,2110,2010,201030,S15,35,0
ABCD,2110,2010,201030,S16,35,3
ABCD,2110,2010,201110,R40,35,4
ABCD,2110,2010,201110,S13,35,0
ABCD,2110,2010,201110,S14,35,2
ABCD,2110,2010,201110,S15,35,0
ABCD,2110,2010,201110,S16,35,2
ABCD,2110,2010,201120,R40,20,2
ABCD,2110,2010,201120,S13,35,0
ABCD,2110,2010,201120,S15,35,1
ABCD,2110,2010,201120,S16,35,6
ABCD,2110,2011,201130,L10,35,2
